Fecha de actualización;Coordinación Zonal;Provincia;Cantón;Estado;Características de cubierta del escenario;Longitud;Latitud;Nombre del Propietario;Nombre del Administrador;Tipo de propiedad;Hora de apertura;Hora de cierre;;Uso del escenario deportivo;Costo por uso de las instalaciones
09/11/2021 9:53;Zonal 7;Zamora Chinchipe;Canar;Bueno;Cubierto;-784.747.808;-35.720.909;GAD PARROQUIAL TUNDAYME;GAD PARROQUIAL TUNDAYME;Público;8:00 a. m.;5:00 p. m.;;CANCHA DE USO MULTIPLE;0
08/11/2021 15:02;Zonal 6;Cañar;Azogues;Regular;Descubierto;-784.808.775;-0.18779;Junta Parroquial Javier Loyola;Carlos Julio Leon Bravo;Público;4:00 p. m.;8:00 p. m.;;ESTADIO;1
08/11/2021 14:52;Zonal 6;Cañar;Azogues;Bueno;Cubierto;-784.808.775;-0.18779;Junta Parroquial Javier Loyola;Carlos Julio Leon Bravo;Público;8:00 a. m.;8:00 p. m.;;"CANCHA DE USO MULTIPLE
COLISEO";0
08/11/2021 12:42;Zonal 6;Cañar;Biblin;Regular;Cubierto;-784.808.775;-0.18779;Liga deportiva cantonal de Biblian;Liga deportiva cantonal de Biblian;Público;8:00 a. m.;6:00 p. m.;;COLISEO;0
08/11/2021 11:39;Zonal 6;Cañar;Biblin;Regular;Descubierto;-784.808.775;-0.18779;GAD Municipal de Biblian;Liga deportiva cantonal de Biblian;Público;8:00 a. m.;6:00 p. m.;;CANCHA DE FUTBOL;1
08/11/2021 10:56;Zonal 6;Cañar;Biblin;Regular;Cubierto;-784.865.491;-0.17403;GAD Municipal de Biblian;Liga deportiva cantonal de Biblian;Público;8:00 a. m.;6:00 p. m.;;"CANCHA DE BALONCESTO
CANCHA DE INDOR
COLISEO
COLISEO DE CONTACTO
PISCINAS";0
08/11/2021 9:24;Zonal 7;Zamora Chinchipe;Sucua;Malo;Cubierto;-789.501.327;-40.654.485;CZ7;LDC DE MACARA;Público;8:00 a. m.;5:00 p. m.;;CANCHA DE FUTBOL;0
05/11/2021 19:07;Zonal 6;Cañar;Azogues;Regular;Cubierto;-784.808.775;-0.18779;Federacion deportiva de Cañar;Israel Verdugo;Público;8:00 a. m.;6:00 p. m.;;COLISEO  DE GIMNASIA;0
05/11/2021 18:05;Zonal 6;Cañar;Azogues;Regular;Cubierto;-784.808.775;-0.18779;Federacion deportiva de Cañar;Israel Verdugo;Público;8:00 a. m.;6:00 p. m.;;PRACTICA DE JUDO;0
05/11/2021 11:07;Zonal 6;Cañar;Azogues;Regular;Cubierto;-784.808.775;-0.18779;Federacion deportiva de Cañar;Israel Verdugo;Público;8:00 a. m.;6:00 p. m.;;"CANCHA DE BALONCESTO
COLISEO
DEPORTES DE CONTACTO";0
04/11/2021 17:44;Zonal 6;Cañar;Azogues;Regular;Cubierto;-784.808.775;-0.18779;Federacion deportiva de Cañar;Israel Verdugo;Público;8:00 a. m.;6:00 p. m.;;"CANCHA DE BALONCESTO
COLISEO DE CONTACTO";0
04/11/2021 17:02;Zonal 6;Cañar;Azogues;Regular;Descubierto;-784.808.775;-0.18779;GAD Municipal de Azogues;Federacion deportiva de Cañar;Público;8:00 a. m.;6:00 p. m.;;CANCHA DE TENIS;0
04/11/2021 16:46;Zonal 6;Cañar;Azogues;Bueno;Descubierto;-784.808.775;-0.18779;Federacion deportiva de Cañar;Israel Verdugo;Público;8:00 a. m.;6:00 p. m.;;PISTA ATLETICA;0
04/11/2021 16:21;Zonal 6;Cañar;Azogues;Bueno;Cubierto;-784.808.775;-0.18779;GAD Municipal de Azogues;Federacion deportiva de Cañar;Público;8:00 a. m.;6:00 p. m.;;"CANCHA DE BALONCESTO
CANCHA DE USO MULTIPLE
COLISEO";0
27/10/2021 11:20;Zonal 6;Morona Santiago;San Juan Bosco;Regular;Cubierto;-784.808.775;-0.18779;GAD Municipal de San Juan Bosco;Alfonso Vera;Público;8:00 a. m.;6:00 p. m.;;"CANCHA DE INDOR
CANCHA DE USO MULTIPLE
COLISEO";0
27/10/2021 11:01;Zonal 6;Morona Santiago;Gualaquiza;Regular;Cubierto;-784.808.775;-0.18779;GAD Municipal de Gualaquiza;Liga deportiva cantonal de Gualaquiza;Público;8:00 a. m.;6:00 p. m.;;"CANCHA DE BALONCESTO
CANCHA DE INDOR
CANCHA DE USO MULTIPLE
COLISEO";0
27/10/2021 10:22;Zonal 6;Morona Santiago;Gualaquiza;Regular;Descubierto;-784.808.775;-0.18779;GAD Municipal de Gualaquiza;Liga deportiva cantonal de Gualaquiza;Público;8:00 a. m.;6:00 p. m.;;"CANCHA DE FUTBOL
PISTA";0
27/10/2021 10:07;Zonal 6;Morona Santiago;Morona;Bueno;Descubierto;-784.808.775;-0.18779;GAD Municipal de Morona;Fernando Ruiz;Público;9:00 a. m.;7:00 p. m.;;"BALNEARIO
PISCINAS";1
26/10/2021 11:26;Zonal 6;Morona Santiago;Morona;Regular;Cubierto;-784.808.775;-0.18779;Federacion deportiva de Morona;Fernando Ruiz;Público;8:00 a. m.;6:00 p. m.;;"CANCHA DE AJEDREZ
CANCHA DE BALONCESTO
CANCHA DE VOLEY
COLISEO";0
25/10/2021 14:04;Zonal 6;Morona Santiago;Morona;Bueno;Cubierto;-784.808.775;-0.18779;GAD Municipal de Morona;Fernando Ruiz;Público;8:00 a. m.;6:00 p. m.;;"CANCHA DE BALONCESTO
CANCHA DE INDOR
CANCHA DE VOLEY";0
